Typee,Individual,Tree Size,Tree Depth,Diversity
Integer,((% -403) -257),5,3,457.31
Integer,159,1,1,485.489
Integer,((% 401) (if True then 837 else -83)),8,3,610.087
Integer,((\y:Boolean -> 164) (if True then True else False)),7,3,534.049
Integer,((\u:String -> -16) JbFOduOighBOkuDmRIxUYjPpRHDsTahzymkhTnWOqPhKIJQxtgPYNZmulwwKAyxePdKEIgpQvPlDslX),4,3,326.53
Integer,((% 352) (if False then -7 else -225)),8,3,601.528
Integer,((\j:String -> -839) (if False then FMZjZdrNibmgcEsGLstzsDXpUDvLfXpkOXeomftEgFhwvSkDRS else NCWdU)),7,3,425.505
Integer,((\m:Top -> -227) (|| False)),6,3,485.01
Integer,((% -478) (if False then -235 else -363)),8,3,608.198
Integer,((% 119) (if False then 350 else -401)),8,3,
