Typee,Diversity
Boolean,406.0
Boolean,397.502
Boolean,415.0
Boolean,898.0
Boolean,911.0
Boolean,547.0
Boolean,428.854
Boolean,406.0
Boolean,422.0
Boolean,455.0
Boolean,346.114
Boolean,404.0
Boolean,496.143
Boolean,346.502
Boolean,621.0
Boolean,349.859
Boolean,384.0
Boolean,371.0
Boolean,535.0
Boolean,344.017
Boolean,406.0
Boolean,345.548
Boolean,345.604
Boolean,406.0
Boolean,348.562
Boolean,440.0
Boolean,344.135
Boolean,406.0
Boolean,404.0
Boolean,406.0
Boolean,406.0
Boolean,346.149
Boolean,762.0
Boolean,611.0
Boolean,518.0
Boolean,347.176
Boolean,546.0
Boolean,335.0
Boolean,404.0
Boolean,431.803
Boolean,406.0
Boolean,406.0
Boolean,421.0
Boolean,531.0
Boolean,404.0
Boolean,351.494
Boolean,491.984
Boolean,404.0
Boolean,348.434
Boolean,460.0
Boolean,496.868
Boolean,429.0
Boolean,835.0
Boolean,493.509
Boolean,349.542
Boolean,534.0
Boolean,460.0
Boolean,404.0
Boolean,537.0
Boolean,642.0
Boolean,406.0
Boolean,432.38
Boolean,406.0
Boolean,346.565
Boolean,346.789
Boolean,347.946
Boolean,406.0
Boolean,458.0
Boolean,494.064
Boolean,488.821
Boolean,482.625
Boolean,430.278
Boolean,406.0
Boolean,488.844
Boolean,418.0
Boolean,404.0
Boolean,343.842
Boolean,1003.0
Boolean,344.065
Boolean,668.0
Boolean,481.072
Boolean,345.906
Boolean,347.007
Boolean,368.0
Boolean,404.0
Boolean,446.0
Boolean,349.184
Boolean,504.814
Boolean,429.081
Boolean,443.0
Boolean,406.0
Boolean,400.857
Boolean,434.559
Boolean,404.0
Boolean,712.0
Boolean,343.937
Boolean,534.0
Boolean,538.0
Boolean,453.0
Boolean,399.227
