Typee,Individual,Diversity,Semantic Diversity
z3-history M4,4,57.76809247904495,10624
z3-history M4,8,57.63375191474862,10528
z3-history M4,12,57.51135634652111,10440
z3-history M4,16,57.40070793836595,10360
z3-history M4,20,57.30162784199304,10288
z3-history M4,24,57.213955907734544,10224
z3-history M4,28,57.13755042568437,10168
z3-history M4,-4,58.0734968282222,10840
z3-history M4,32,57.07228789664313,10120
z3-history M4,36,57.018062832498394,10080
z3-history M4,0,57.914595182888384,10728
z3-history M4,40,56.974787585717195,10048
z3-history M4,-8,58.245054258213244,10960
z3-history M4,44,56.94239220767559,10024
z3-history M4,-12,58.42954477240439,11088
z3-history M4,48,56.92082433559617,10008
z3-history M4,-16,58.627266574932044,11224
z3-history M4,-20,58.838539256533004,11368
z3-history M4,52,56.9100491079106,10000
z3-history M4,56,56.91004910791061,10000
z3-history M4,60,56.92082433559618,10008
z3-history M4,64,56.94239220767558,10024
z3-history M4,68,56.97478758571719,10048
z3-history M4,-24,59.063704311120034,11520
z3-history M4,72,57.018062832498416,10080
z3-history M4,76,57.072287896643154,10120
z3-history M4,-28,59.30312568776092,11680
z3-history M4,80,57.13755042568439,10168
z3-history M4,84,57.21395590773458,10224
z3-history M4,-32,59.55719037895313,11848
z3-history M4,88,57.301627841993074,10288
z3-history M4,-36,59.82630904614532,12024
z3-history M4,-40,60.110916683516436,12208
z3-history M4,-44,60.41147332108525,12400
z3-history M4,-48,60.72846476828719,12600
z3-history M4,-52,61.06240339922004,12808
z3-history M4,92,57.40070793836596,10360
z3-history M4,96,57.51135634652113,10440
z3-history M4,100,57.63375191474862,10528
z3-history M4,104,57.76809247904496,10624
z3-history M4,-56,61.41382898082777,13024
z3-history M4,-60,61.783309545361455,13248
z3-history M4,-64,62.171442308526906,13480
z3-history M4,-68,62.57885463480383,13720
z3-history M4,-72,63.00620505149619,13968
z3-history M4,-76,63.45418431315302,14224
z3-history M4,108,57.9145951828884,10728
z3-history M4,112,58.07349682822222,10840
z3-history M4,116,58.24505425821326,10960
z3-history M4,120,58.429544772404405,11088
z3-history M4,-80,63.92351651808063,14488
z3-history M4,-84,64.41496027874997,14760
z3-history M4,-88,64.92930994799202,15040
z3-history M4,124,58.627266574932044,11224
z3-history M4,-92,65.46739690296236,15328
z3-history M4,128,58.838539256533,11368
z3-history M4,132,59.06370431112004,11520
z3-history M4,-96,66.03009088895065,15624
z3-history M4,136,59.30312568776091,11680
z3-history M4,-100,66.61830142520715,15928
z3-history M4,140,59.55719037895311,11848
z3-history M4,144,59.82630904614531,12024
z3-history M4,148,60.11091668351642,12208
z3-history M4,152,60.41147332108523,12400
z3-history M4,156,60.728464768287175,12600
z3-history M4,-104,67.23297927505831,16240
z3-history M4,160,61.06240339922001,12808
z3-history M4,-108,67.87511798268811,16560
z3-history M4,164,61.41382898082775,13024
z3-history M4,-112,68.5457554790687,16888
z3-history M4,168,61.783309545361426,13248
z3-history M4,172,62.17144230852688,13480
z3-history M4,-116,69.24597575963647,17224
z3-history M4,176,62.578854634803804,13720
z3-history M4,180,63.00620505149615,13968
z3-history M4,-120,69.97691063642499,17568
z3-history M4,184,63.45418431315301,14224
z3-history M4,188,63.9235165180806,14488
z3-history M4,192,64.41496027874994,14760
z3-history M4,-124,70.73974156748724,17920
z3-history M4,-128,71.53570156656384,18280
z3-history M4,-132,72.36607719608409,18648
z3-history M4,196,64.92930994799201,15040
z3-history M4,200,65.46739690296236,15328
z3-history M4,204,66.03009088895067,15624
z3-history M4,208,66.61830142520716,15928
z3-history M4,-136,73.23221064672137,19024
z3-history M4,-140,74.13550190686412,19408
z3-history M4,-144,75.077411025509,19800
z3-history M4,212,67.23297927505831,16240
z3-history M4,216,67.8751179826881,16560
z3-history M4,220,68.54575547906869,16888
z3-history M4,224,69.24597575963647,17224
z3-history M4,228,69.97691063642499,17568
z3-history M4,232,70.73974156748726,17920
z3-history M4,236,71.53570156656386,18280
z3-history M4,240,72.3660771960841,18648
z3-history M4,244,73.23221064672138,19024
z3-history M4,248,74.1355019068641,19408
z3-history M4,252,75.077411025509,19800
