Typee,Individual,Diversity,Semantic Diversity
z3-qflra Natural,4294966334,70.22423297048948,16176
z3-qflra Natural,4294966337,69.37310336410576,15882
z3-qflra Natural,4294966341,68.27523717844626,15498
z3-qflra Natural,4294966344,67.4785971014548,15216
z3-qflra Natural,4294966347,66.71270127392904,14940
z3-qflra Natural,4294966350,65.97685338004737,14670
z3-qflra Natural,4294966354,65.02791075215674,14318
z3-qflra Natural,4294966357,64.33950593298003,14060
z3-qflra Natural,4294966360,63.678991451852134,13808
z3-qflra Natural,4294966364,62.82725521671927,13480
z3-qflra Natural,4294966367,62.209412494741436,13240
z3-qflra Natural,4294966370,61.617523531829384,13006
z3-qflra Natural,4294966373,61.05105021087277,12778
z3-qflra Natural,4294966377,60.32100012155836,12482
z3-qflra Natural,4294966380,59.7917530166281,12266
z3-qflra Natural,4294966383,59.28626165050346,12056
z3-qflra Natural,4294966386,58.80406645463308,11852
z3-qflra Natural,4294966390,58.18322240642505,11588
z3-qflra Natural,4294966393,57.7336027653838,11396
z3-qflra Natural,4294966396,57.305867691466766,11210
z3-qflra Natural,4294966399,56.89962830842112,11030
z3-qflra Natural,4294966403,56.37737705868733,10798
z3-qflra Natural,4294966406,55.99977794879389,10630
z3-qflra Natural,4294966409,55.64248709550245,10468
z3-qflra Natural,4294966412,55.3051796670733,10312
z3-qflra Natural,4294966416,54.87259340335528,10112
z3-qflra Natural,4294966419,54.56063907282892,9968
z3-qflra Natural,4294966422,54.26768460273245,9830
z3-qflra Natural,4294966426,53.892775198553565,9654
z3-qflra Natural,4294966429,53.623034179630054,9528
z3-qflra Natural,4294966432,53.371440595652196,9408
z3-qflra Natural,4294966435,53.13776570977768,9294
z3-qflra Natural,4294966439,52.840306958117196,9150
z3-qflra Natural,4294966442,52.62753079244909,9048
z3-qflra Natural,4294966445,52.43199699770342,8952
z3-qflra Natural,4294966448,52.25352780391454,8862
z3-qflra Natural,4294966452,52.028434688795336,8750
z3-qflra Natural,4294966455,51.869065249903244,8672
z3-qflra Natural,4294966458,51.7262486213713,8600
z3-qflra Natural,4294966461,51.59985496115769,8534
z3-qflra Natural,4294966465,51.44327954709185,8454
z3-qflra Natural,4294966468,51.334671689060606,8400
z3-qflra Natural,4294966471,51.24213079634631,8352
z3-qflra Natural,4294966475,51.130191775405365,8296
z3-qflra Natural,4294966478,51.054725193709324,8260
z3-qflra Natural,4294966481,50.9950710633781,8230
z3-qflra Natural,4294966484,50.95117514973217,8206
z3-qflra Natural,4294966488,50.90369222928321,8182
z3-qflra Natural,4294966491,50.87632179206057,8170
z3-qflra Natural,4294966494,50.86460161037045,8164
z3-qflra Natural,4294966497,50.86852102878474,8164
z3-qflra Natural,4294966501,50.884682494908496,8172
z3-qflra Natural,4294966504,50.90501956081394,8184
z3-qflra Natural,4294966507,50.941032972889445,8202
z3-qflra Natural,4294966510,50.99275547280526,8226
z3-qflra Natural,4294966514,51.072837603516724,8266
z3-qflra Natural,4294966517,51.14130908433383,8302
z3-qflra Natural,4294966520,51.225671734444184,8344
z3-qflra Natural,4294966524,51.34960862032433,8408
z3-qflra Natural,4294966527,51.45126084695653,8462
z3-qflra Natural,4294966530,51.569086036186675,8522
z3-qflra Natural,4294966533,51.70319130903633,8588
z3-qflra Natural,4294966537,51.894134890064535,8684
z3-qflra Natural,4294966540,52.046613763956195,8762
z3-qflra Natural,4294966543,52.21580686681743,8846
z3-qflra Natural,4294966546,52.40186802091778,8936
z3-qflra Natural,4294966550,52.6630824510476,9064
z3-qflra Natural,4294966553,52.869073829806226,9166
z3-qflra Natural,4294966556,53.092527178853764,9274
z3-qflra Natural,4294966559,53.3336456512781,9388
z3-qflra Natural,4294966563,53.669596354852374,9548
z3-qflra Natural,4294966566,53.93270088491145,9674
z3-qflra Natural,4294966569,54.21423438406036,9806
z3-qflra Natural,4294966573,54.60532360568557,9990
z3-qflra Natural,4294966576,54.91076962308104,10134
z3-qflra Natural,4294966579,55.23553382284138,10284
z3-qflra Natural,4294966582,55.579911465029994,10440
z3-qflra Natural,4294966586,56.056734304686564,10656
z3-qflra Natural,4294966589,56.428012386109714,10824
z3-qflra Natural,4294966592,56.81998805438494,10998
z3-qflra Natural,4294966595,57.233017675025344,11178
z3-qflra Natural,4294966599,57.80372535282153,11426
z3-qflra Natural,4294966602,58.24726169789314,11618
z3-qflra Natural,4294966605,58.71314960420067,11816
z3-qflra Natural,4294966608,59.20181263472574,12020
z3-qflra Natural,4294966612,59.87616131901645,12300
z3-qflra Natural,4294966615,60.399617372321835,12516
z3-qflra Natural,4294966618,60.94738180560556,12738
z3-qflra Natural,4294966621,61.51995262006799,12966
z3-qflra Natural,4294966625,62.3094702077956,13278
z3-qflra Natural,4294966628,62.92187363021389,13518
z3-qflra Natural,4294966631,63.560878547255655,13764
z3-qflra Natural,4294966635,64.44187197183867,14100
z3-qflra Natural,4294966638,65.12513590253333,14358
z3-qflra Natural,4294966641,65.83700442843568,14622
z3-qflra Natural,4294966644,66.57812474633116,14892
z3-qflra Natural,4294966648,67.59955554256287,15260
z3-qflra Natural,4294966651,68.39148426259298,15542
z3-qflra Natural,4294966654,69.21498718539435,15830
z3-qflra Natural,4294966657,70.07081300040196,16124
