Typee;Individual;Tree Size;Tree Depth;Diversity
Boolean;False;1;1;903.0
Boolean;((if (! True) then (\h:Integer -> False) else (\h:Integer -> True)) ((\q:Integer -> 100) -37));13;4;977.89
Boolean;((\q:(fresh_1:Double -> (Boolean)) -> False) (\fresh_1:Double -> (! False)));7;4;853.0
Boolean;((if (! True) then (\w:Top -> True) else (\w:Top -> False)) (--> False));12;4;962.0
Boolean;(! (if (! False) then (! False) else (! True)));12;4;1114.0
Boolean;(if ((\d:(fresh_8:Integer -> (Top)) -> True) %) then ((\b:Integer -> True) (if True then 43 else 53)) else ((\u:Integer -> True) -97));16;4;1335.844
Boolean;(((if False then And else -->) False) ((\k:Top -> True) !=));11;4;1054.0
Boolean;False;1;1;903.0
Boolean;(! ((\q:Integer -> False) (if True then -39 else -66)));9;4;912.464
Boolean;(if (! (! True)) then True else ((\x:Integer -> True) (if True then 93 else 42)));14;4;1206.356
Boolean;(((\f:(fresh_15:Integer -> (Boolean)) -> f) (\fresh_15:Integer -> False)) ((% 62) -37));11;4;977.821
Boolean;(((\y:Integer -> !) (if False then 62 else -58)) ((\a:Integer -> False) (if True then -74 else 48)));15;4;1200.05
Boolean;(if ((\c:Integer -> True) 5) then False else True);7;4;876.24
Boolean;((\z:Integer -> (! True)) 50);6;4;847.573
Boolean;((\f:Top -> False) ((\f:Integer -> ==) -62));7;4;823.528
Boolean;((\r:Integer -> (if True then True else True)) ((\a:Boolean -> 47) (if True then True else False)));13;4;1090.561
Boolean;(((\d:Top -> !) (% 47)) ((&& False) False));12;4;1110.233
Boolean;((\g:Integer -> (! False)) ((% 48) (if False then -22 else 11)));13;4;1105.366
Boolean;(if False then ((\n:Integer -> False) 31) else True);7;4;882.797
Boolean;((--> False) ((\f:(fresh_23:Integer -> (Integer)) -> True) (% 87)));10;4;930.032
Boolean;(if ((\q:Integer -> False) 36) then ((&& True) True) else ((\c:Integer -> False) -21));14;4;1229.413
Boolean;False;1;1;903.0
Boolean;((if False then (And False) else (\s:Boolean -> False)) ((\b:Integer -> False) (if False then -46 else -37)));15;4;1164.887
Boolean;((if False then (\c:Top -> True) else (\c:Top -> False)) (And (if False then True else False)));13;4;1035.0
Boolean;((if (! False) then (\d:Integer -> False) else (\d:Integer -> False)) ((\u:Top -> -3) (And False)));15;4;1122.218
Boolean;((if (if True then True else True) then (\a:Top -> True) else (\a:Top -> False)) *);11;4;1022.0
Boolean;((if (! False) then (\c:Integer -> True) else (\c:Integer -> False)) ((% 24) 97));14;4;1041.453
Boolean;((if True then (\m:Integer -> True) else (\m:Integer -> True)) ((% 46) -69));12;4;986.487
Boolean;((if (! False) then (\v:Integer -> False) else (\v:Integer -> True)) ((\f:Top -> 72) (% -36)));15;4;1092.221
Boolean;True;1;1;896.0
Boolean;((\b:Integer -> (! True)) 5);6;4;848.243
Boolean;((if (if True then True else True) then (\c:Integer -> True) else (\c:Integer -> True)) -42);11;4;1007.005
Boolean;True;1;1;896.0
Boolean;False;1;1;903.0
Boolean;False;1;1;903.0
Boolean;(! (! (! True)));7;4;921.0
Boolean;((if False then (\i:Integer -> False) else (\i:Integer -> False)) (if (! False) then -3 else (if True then -10 else -3)));16;4;1253.891
Boolean;((\t:Integer -> True) -95);4;3;788.458
Boolean;((if False then (\p:Integer -> True) else (\p:Integer -> True)) ((% -71) -87));12;4;978.053
Boolean;((if (! False) then (\p:Integer -> True) else (\p:Integer -> False)) 60);10;4;874.379
Boolean;((\m:Integer -> True) ((\a:Integer -> 30) 57));7;4;802.886
Boolean;((\i:Integer -> False) ((\o:Integer -> -32) (if True then 10 else 93)));10;4;921.057
Boolean;True;1;1;896.0
Boolean;((if (! True) then (\e:Top -> True) else (\e:Top -> False)) ((if False then ! else &&) False));15;4;1140.0
Boolean;((if True then (\n:(fresh_44:Integer -> ((fresh_45:Top -> (Integer)))) -> True) else (\n:(fresh_44:Integer -> ((fresh_45:Top -> (Integer)))) -> True)) (\fresh_44:Integer -> (\fresh_45:Top -> 71)));10;4;935.26
Boolean;(if ((\r:(fresh_49:Boolean -> (Integer)) -> True) (\fresh_49:Boolean -> 98)) then ((\b:Integer -> False) -34) else ((\h:Integer -> True) 66));14;4;1184.103
Boolean;((\r:Integer -> False) ((\x:Integer -> -50) 92));7;4;810.475
Boolean;((\i:Integer -> True) ((% 38) (if False then -94 else -19)));11;4;1006.587
