Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
(x:Integer -> (Integer)),Abstract Integer,(if (if ((if False then (\fresh_1:Object -> True) else (if True then (if False then (\fresh_1:Object -> True) else (\fresh_1:Object -> False)) else (if False then (\fresh_1:Object -> True) else (\fresh_1:Object -> False)))) (if False then -761 else "dxqKxzsRAglvmetzTJZurVAIosYYGhGkOKheyMPELgtjbYOZbfvSkFdFTVoDjSTPhOXEJJFKtcqZTqBpMbWvpAYzUxpKxkfnouBjjbrdFsDYtOmCIXdWRnbNHLcJfuTNyOocxYMOwDWuUwAuqGEbvpqKDVeOIgtPb")) then False else False) then (\x:Integer -> (if (if (if (if True then False else False) then (! True) else False) then (if True then True else False) else False) then -70 else x)) else ((if False then (if (if False then True else (if False then True else False)) then (\fresh_77:String -> (\x:Integer -> (if True then x else 195))) else (if (if False then False else True) then (\fresh_77:String -> (if True then (\x:Integer -> x) else (\x:Integer -> -126))) else (\fresh_77:String -> (\x:Integer -> x)))) else ((\fresh_92:Integer -> (\fresh_77:String -> (if True then (\x:Integer -> 257) else (\x:Integer -> -49)))) (if (if (! False) then ((!=Int -708) 354) else True) then ((\fresh_96:Integer -> fresh_96) -308) else (if (if True then False else True) then -163 else -5)))) "VcapztYZxgwgSlthYwxEtLDAlrajqVyWwbjAlkUFgywroLIrPxglZCHYBjOyhLTBGugAQhHpGlDwUNLpxKtRZwbhIIxaaFMWOHLtMlualWTatrwyaHOmLWCclVBHqfONiaXKnbBPjpvHktfCZSYWHq")),110,9,10780.414,257
(x:Integer -> (Integer)),Abstract Integer,(if (if (! ((if True then ((\fresh_101:Integer -> !) 29) else !) ((>=Int 69) -303))) then ((\fresh_102:Double -> ((\fresh_103:Integer -> True) -2)) -333.2530791576975) else True) then (if (if False then (if ((if (if (if True then True else False) then False else (if False then False else True)) then (!=Int 733) else (\fresh_104:Integer -> False)) (if True then -343 else (if False then (if True then -572 else -44) else 566))) then False else False) else (if (if (if True then True else False) then (if ((\fresh_112:Boolean -> True) False) then False else True) else False) then (((if True then <=Int else (if True then ==Int else ==Int)) 157) -490) else (((\fresh_116:Top -> !) (if False then "FxUMqRgiJplYyzRWLPdymwvebdlYieqHDFEhzZcfuNOdPvDZHHKgWeEjZojhMySjIDwssbemCgfTnTGLsbnhqZojGAWZqryGQfRbFHxVDCAtmQjNAmjknGCyPTMJFjrkrewjVkeqvQiSuukKKVkrOsKZsKZM" else "HuJrHIpoXAvuEVZBbpBhTAruWSCHSNxeihVCXmiaspUxTuzkpBSyqgNBdwkfhuJHgvDvaTEmUUvdvUFpaKitMYXwnfWvyOxJVuuWHFQoFV")) True))) then (if (if (if True then False else True) then False else (if False then False else True)) then ((\fresh_119:Integer -> (if False then (\x:Integer -> x) else (\x:Integer -> -357))) 75) else (if (if False then True else True) then (\x:Integer -> x) else (\x:Integer -> -188))) else (\x:Integer -> ((if False then (\fresh_126:Boolean -> -116) else (\fresh_126:Boolean -> -929)) ((\fresh_127:Integer -> False) 117)))) else (if (if True then False else False) then (\x:Integer -> ((\fresh_150:Boolean -> ((\fresh_154:Boolean -> -361) True)) ((if False then ((if False then ==Int else <=Int) 306) else (<Int x)) (if False then 228 else 541)))) else (\x:Integer -> ((if False then ((\fresh_167:Integer -> (\fresh_155:Double -> x)) (if True then -44 else x)) else (\fresh_155:Double -> -280)) 73.83982955889952)))),176,9,16210.729,-929
(x:Integer -> (Integer)),Abstract Integer,(if (if False then True else False) then ((((\fresh_171:Boolean -> (\fresh_170:Integer -> (\fresh_169:Boolean -> (\x:Integer -> fresh_170)))) True) 356) True) else ((\fresh_220:Integer -> (if ((\fresh_228:Top -> False) False) then (if False then ((\fresh_230:String -> (% fresh_220)) "ItPQtJJjNREJKAOALCsWDJpexiAdaZPgsIaVBwHtmCsnsaxfEsBlPYkTXnUElCtafrTLLQwqsSVBuRVAihNXFl") else (\x:Integer -> -349)) else (\x:Integer -> fresh_220))) ((if True then ((\fresh_222:Object -> (\fresh_221:Integer -> 373)) "uGAfBlCOAdGxgpGjqtZRPbxqsgbzhvlQDyIsFYluvCYqEXpzBuwSQcINARBVvnaveBuwPCXyFTAxTtxnpaPyerHsEzcrssr") else (if True then (if (if True then False else (! False)) then (\fresh_221:Integer -> fresh_221) else (\fresh_221:Integer -> fresh_221)) else (\fresh_221:Integer -> 410))) 48))),59,9,7797.091,373
(x:Integer -> (Integer)),Abstract Integer,(\x:Integer -> x),2,2,6245.0,42
(x:Integer -> (Integer)),Abstract Integer,(if (((\fresh_245:Boolean -> (if False then (\fresh_236:Integer -> (if fresh_245 then False else fresh_245)) else (\fresh_236:Integer -> False))) (if True then ((\fresh_246:Integer -> True) ((\fresh_247:Integer -> fresh_247) -221)) else (if True then True else (if False then True else False)))) (if (if (((\fresh_238:Object -> (\fresh_237:Integer -> True)) 447) -665) then False else ((if False then (--> (if True then True else True)) else (\fresh_239:Boolean -> fresh_239)) True)) then -109 else (if False then -429 else ((\fresh_242:Boolean -> 243) (if False then False else True))))) then ((if (if False then True else False) then (\fresh_259:Boolean -> (if (if False then fresh_259 else fresh_259) then (\x:Integer -> 348) else (\x:Integer -> x))) else (if ((\fresh_262:Integer -> (if False then (if False then True else True) else False)) -422) then (\fresh_259:Boolean -> (\x:Integer -> -520)) else (\fresh_259:Boolean -> (\x:Integer -> -86)))) False) else (if (if (if ((\fresh_278:Boolean -> False) True) then (if True then True else False) else True) then True else ((if True then (if True then ! else !) else !) False)) then (if ((if True then (\fresh_285:String -> False) else (\fresh_285:String -> False)) "rvPVfsaMstiUTJzaYMnHgDosTcaokNVSxTwmjNpCpJnKuNriIZeAftkpHrUlKujFcMnSpVCYHpiJWGUxRKOdzFACxcmHtwQi") then (if ((\fresh_296:Integer -> False) (if False then -753 else 359)) then (if (if True then True else True) then (\x:Integer -> ((\fresh_307:Boolean -> x) (if True then True else False))) else (\x:Integer -> (if (! True) then 201 else 278))) else (if True then (+Int 281) else (+Int -144))) else ((\fresh_322:String -> (if True then (*Int 219) else (\x:Integer -> x))) "hFOpzuoltiRgOkWjZRrEqkADBXPlLHqEkbpCyPBWXkynJgttionTzNSpfzftOiUtQQfhVpRhOBiQjhJCpPJXmTWJKdXLolqMyciLgBtpFdOHnbcMTBCiGssdtQMlrVeYsZmdm")) else (if (if (if False then False else (if True then (if True then False else True) else False)) then False else True) then ((if ((if (! True) then ! else !) False) then (\fresh_357:Top -> (\x:Integer -> x)) else (\fresh_357:Top -> (\x:Integer -> -521))) -16) else (((\fresh_375:Integer -> (\fresh_372:Integer -> (\x:Integer -> -68))) -222) ((\fresh_373:Boolean -> 140) True))))),215,9,19454.306,9198
(x:Integer -> (Integer)),Abstract Integer,(\x:Integer -> -490),2,2,6292.799,-490
(x:Integer -> (Integer)),Abstract Integer,(if (((if (if False then True else (if True then (! False) else True)) then (if (if True then (! False) else (! True)) then (\fresh_384:Integer -> (\fresh_382:Object -> False)) else (\fresh_384:Integer -> (\fresh_382:Object -> (if True then False else False)))) else (\fresh_384:Integer -> (\fresh_382:Object -> (if False then True else False)))) (if (if (if True then (if True then False else True) else True) then True else True) then -501 else -252)) ((\fresh_383:Boolean -> -20) True)) then (if True then (\x:Integer -> x) else (\x:Integer -> x)) else (if (if (! True) then False else (if True then (! True) else (if True then (if (if False then True else False) then False else True) else ((\fresh_445:Boolean -> False) False)))) then (\x:Integer -> ((if (if False then True else False) then (*Int (if False then x else x)) else (\fresh_446:Integer -> (if False then (if False then 100 else -306) else fresh_446))) ((\fresh_447:Boolean -> -427) (if (if True then True else False) then True else (! False))))) else (\x:Integer -> -44))),119,9,11479.346,-44
(x:Integer -> (Integer)),Abstract Integer,(\x:Integer -> (if False then 423 else ((if True then (\fresh_460:Integer -> (if True then fresh_460 else 353)) else (if (if (if False then True else False) then False else False) then (if False then (\fresh_460:Integer -> fresh_460) else (if False then (\fresh_460:Integer -> x) else (% -188))) else (\fresh_460:Integer -> -142))) -330))),34,9,6593.359,-330
(x:Integer -> (Integer)),Abstract Integer,(if (if ((if ((\fresh_466:Object -> (if True then True else True)) 256) then (\fresh_465:Integer -> (if (! False) then True else True)) else (if True then (\fresh_465:Integer -> (if False then False else True)) else (\fresh_465:Integer -> True))) -229) then (if (if False then (if (if True then True else False) then True else True) else (if True then (if False then False else True) else (! True))) then True else False) else False) then (\x:Integer -> ((if True then (if True then (\fresh_481:Boolean -> (if fresh_481 then 13 else -195)) else (\fresh_481:Boolean -> 512)) else (if (! False) then (\fresh_481:Boolean -> x) else (\fresh_481:Boolean -> -86))) (if (((\fresh_486:Boolean -> (\fresh_482:Integer -> fresh_486)) True) (if (if False then False else False) then x else (if True then x else x))) then False else False))) else (\x:Integer -> ((\fresh_501:Integer -> x) x))),95,9,9716.757,-195
(x:Integer -> (Integer)),Abstract Integer,(if True then ((if (if True then (((if True then ==Int else >Int) 55) -32) else ((\fresh_511:Boolean -> (! fresh_511)) False)) then (\fresh_502:Boolean -> (if (if True then fresh_502 else (if fresh_502 then fresh_502 else False)) then (\x:Integer -> x) else (\x:Integer -> -221))) else (\fresh_502:Boolean -> (\x:Integer -> x))) (((\fresh_504:Boolean -> !) True) False)) else (\x:Integer -> -134)),44,8,7009.174,42
(x:Integer -> (Integer)),Abstract Integer,(\x:Integer -> -390),2,2,6284.037,-390
(x:Integer -> (Integer)),Abstract Integer,(*Int 272),3,2,6304.354,11424
(x:Integer -> (Integer)),Abstract Integer,((if (if (if (if (if True then False else False) then ((|| False) False) else (if (! True) then True else True)) then True else True) then False else (if ((\fresh_550:String -> True) "WYrtEqbUvMtDCYLHnDwuAYNrxnuIyVPwgOMXzTDWUVYCauEAaPAfLKbZLGWFldpbOTTKd") then (if False then (! True) else (! True)) else False)) then (\fresh_529:Integer -> (if ((>Int -635) ((\fresh_556:Integer -> -423) -84)) then (if False then (\x:Integer -> 603) else (\x:Integer -> (if True then 54 else -623))) else (if False then (\x:Integer -> 77) else (if (if True then True else True) then (\x:Integer -> x) else (\x:Integer -> -249))))) else -Int) ((((\fresh_533:Boolean -> (\fresh_531:Integer -> (\fresh_530:Integer -> -631))) False) (if (! False) then 156 else 111)) 144)),85,8,9188.508,-673
(x:Integer -> (Integer)),Abstract Integer,(if False then (\x:Integer -> ((if ((!=Int 290) 12) then ((\fresh_568:Integer -> (*Int -303)) x) else (\fresh_565:Integer -> ((/Int x) (if (if False then False else False) then x else 149)))) -123)) else (((if False then (if True then (\fresh_573:Integer -> /Int) else (if False then (\fresh_573:Integer -> -Int) else (\fresh_573:Integer -> %))) else (if True then (\fresh_573:Integer -> +Int) else (\fresh_573:Integer -> *Int))) 207) 71)),51,9,7423.566,113
(x:Integer -> (Integer)),Abstract Integer,(\x:Integer -> -384),2,2,6283.666,-384
(x:Integer -> (Integer)),Abstract Integer,(if False then ((if ((if False then (\fresh_581:Integer -> False) else (\fresh_581:Integer -> (if True then True else True))) 372) then ((\fresh_592:Top -> (\fresh_576:Boolean -> (\x:Integer -> 153))) -888) else (if True then (if True then (\fresh_576:Boolean -> (\x:Integer -> 410)) else (\fresh_576:Boolean -> (\x:Integer -> x))) else (\fresh_576:Boolean -> (\x:Integer -> 377)))) (if False then True else ((if False then (\fresh_577:Integer -> True) else (\fresh_577:Integer -> True)) (if (if False then True else (if True then True else True)) then -407 else -1012)))) else (if False then (\x:Integer -> (if False then (if (if True then False else False) then (if True then 466 else ((\fresh_702:Boolean -> x) False)) else ((\fresh_705:Boolean -> x) False)) else ((\fresh_706:Boolean -> 445) ((>Int x) x)))) else (if (if (if False then False else (if False then True else False)) then True else ((\fresh_717:Integer -> True) -1230)) then ((if False then (\fresh_718:Boolean -> (\x:Integer -> 203)) else (\fresh_718:Boolean -> (\x:Integer -> (if fresh_718 then x else x)))) ((if (if False then True else False) then (>Int 380) else (\fresh_719:Integer -> False)) 38)) else (((\fresh_749:Double -> (\fresh_738:Boolean -> (\x:Integer -> x))) -500.30565341662543) ((\fresh_739:Integer -> (if False then (if True then False else True) else False)) ((\fresh_740:String -> -81) "EjHNfBaGvmwWVdhfIohJbZDxRqZfiNyeFlgxZkMdnV")))))),141,9,13226.198,42
(x:Integer -> (Integer)),Abstract Integer,(\x:Integer -> ((if (if True then True else False) then (if False then (*Int 167) else (if False then (\fresh_761:Integer -> -308) else (\fresh_761:Integer -> 376))) else (if True then ((if (! True) then /Int else -Int) 72) else (if (if True then True else (! True)) then (\fresh_761:Integer -> fresh_761) else (\fresh_761:Integer -> (if False then fresh_761 else x))))) x)),43,8,6886.121,376
(x:Integer -> (Integer)),Abstract Integer,(((\fresh_790:Boolean -> (if (if fresh_790 then False else False) then (\fresh_789:Boolean -> (\x:Integer -> x)) else (\fresh_789:Boolean -> (\x:Integer -> x)))) False) False),16,7,6213.0,42
(x:Integer -> (Integer)),Abstract Integer,(\x:Integer -> -68),2,2,6271.247,-68
(x:Integer -> (Integer)),Abstract Integer,(if ((if (if False then (if (! True) then (if True then False else False) else ((==Int (if True then -86 else -204)) -394)) else ((\fresh_925:Object -> False) False)) then (if (if True then True else (if (! False) then (if False then True else False) else False)) then (|| False) else (if (if False then (if False then False else True) else False) then ! else (\fresh_921:Boolean -> False))) else (if True then (\fresh_921:Boolean -> fresh_921) else (if True then ((\fresh_951:Boolean -> (if fresh_951 then ! else !)) (! True)) else !))) True) then (if True then (\x:Integer -> 494) else (if False then (((\fresh_954:Top -> %) -668) (if True then 674 else 70)) else ((\fresh_966:Boolean -> (if True then (\x:Integer -> 218) else (\x:Integer -> x))) False))) else (\x:Integer -> 7)),95,9,9808.06,494
(x:Integer -> (Integer)),Abstract Integer,(\x:Integer -> x),2,2,6245.0,42
(x:Integer -> (Integer)),Abstract Integer,(\x:Integer -> x),2,2,6245.0,42
(x:Integer -> (Integer)),Abstract Integer,(if False then (if ((if ((<=Int -215) 439) then ! else (if (if False then True else True) then ! else (if ((\fresh_984:Object -> False) -131) then (if False then ! else !) else !))) (if True then (if False then True else (if False then False else False)) else True)) then (if True then (if True then (if True then (if False then (+Int 378) else (\x:Integer -> 141)) else (\x:Integer -> x)) else (if True then (\x:Integer -> -28) else (\x:Integer -> x))) else (\x:Integer -> x)) else (if (((\fresh_1003:Boolean -> (if fresh_1003 then (\fresh_1000:Double -> fresh_1003) else (\fresh_1000:Double -> False))) ((\fresh_1004:Boolean -> (if fresh_1004 then False else False)) True)) ((\fresh_1001:Object -> (if False then 219.45851327015535 else 523.0070157911463)) -41)) then (\x:Integer -> 838) else ((\fresh_1008:Integer -> (\x:Integer -> -172)) ((\fresh_1009:Boolean -> -262) False)))) else (\x:Integer -> ((if (! (! False)) then (\fresh_1011:Integer -> 288) else (\fresh_1011:Integer -> (if True then x else 252))) (if False then ((\fresh_1012:Boolean -> (if False then 598 else -657)) True) else 309)))),119,9,11661.481,42
(x:Integer -> (Integer)),Abstract Integer,(if False then (if ((\fresh_1016:Boolean -> True) (if False then (if False then (if (if True then True else True) then False else False) else False) else False)) then (\x:Integer -> ((\fresh_1017:Boolean -> 499) ((\fresh_1018:Integer -> False) 75))) else (\x:Integer -> 76)) else (if (if True then True else (if (if True then True else (! False)) then True else (if True then True else False))) then (if True then (if False then ((\fresh_1024:Boolean -> (\x:Integer -> 242)) (if ((\fresh_1025:Top -> True) -680.3144797889246) then ((\fresh_1026:Integer -> True) 333) else False)) else (if True then (\x:Integer -> (if True then 127 else x)) else (-Int -632))) else (+Int -41)) else (*Int 189))),79,9,8790.637,127
(x:Integer -> (Integer)),Abstract Integer,(if True then (if (if ((\fresh_1036:Integer -> (! False)) (if (if True then False else False) then 285 else 224)) then True else True) then (if False then (if ((\fresh_1038:Integer -> False) 319) then (\x:Integer -> 115) else (\x:Integer -> (if (if False then False else True) then 327 else ((\fresh_1043:Integer -> 640) x)))) else ((if True then (\fresh_1044:Object -> (-Int 404)) else (\fresh_1044:Object -> (\x:Integer -> (if True then -132 else 325)))) (if False then 257 else +))) else (\x:Integer -> 567)) else (\x:Integer -> -465)),59,9,7649.753,362
(x:Integer -> (Integer)),Abstract Integer,(\x:Integer -> x),2,2,6245.0,42
(x:Integer -> (Integer)),Abstract Integer,((if (((if True then (\fresh_1085:Integer -> (if False then ! else !)) else (\fresh_1085:Integer -> !)) ((if True then (if (if False then False else False) then (if False then string_length else string_length) else string_length) else string_length) ((\fresh_1087:Boolean -> "FyjtigbswddDYWMoaWnskFXSbcLRKbMYymQvy") True))) False) then (\fresh_1056:Integer -> (if True then (if (if False then True else True) then (-Int fresh_1056) else (if ((\fresh_1097:Top -> True) 128) then (\x:Integer -> 691) else (\x:Integer -> x))) else ((\fresh_1098:Object -> (\x:Integer -> (if False then fresh_1056 else fresh_1056))) 475))) else +Int) ((if (if (if ((\fresh_1058:Integer -> True) ((\fresh_1059:Integer -> -242) -244)) then (if True then True else False) else False) then (((\fresh_1068:Integer -> (\fresh_1060:String -> False)) (if True then 86 else (if True then 185 else 210))) "gNmorTncWaEjFuoNJdgdFUsbjKjcjqWKYzjYNNSAqbiVojBpdKWuflFaX") else (if (if False then True else False) then False else (if (if True then False else False) then True else True))) then (if False then (\fresh_1057:Integer -> -126) else (\fresh_1057:Integer -> fresh_1057)) else (if True then (\fresh_1057:Integer -> fresh_1057) else (if (if False then False else (if True then True else True)) then (if (if False then (! False) else True) then (% (if True then -30 else -322)) else (/Int 8)) else (*Int (if False then 575 else 176))))) -737)),144,9,13631.519,-779
(x:Integer -> (Integer)),Abstract Integer,(if True then (if (((\fresh_1102:Boolean -> (if fresh_1102 then (\fresh_1101:Integer -> fresh_1102) else (if fresh_1102 then (\fresh_1101:Integer -> fresh_1102) else (!=Int 406)))) False) -264) then (((\fresh_1231:Integer -> (\fresh_1104:Double -> (\x:Integer -> (if False then -181 else x)))) -270) (if (((\fresh_1111:Boolean -> (>=Int 71)) (if False then True else True)) (if True then -694 else -375)) then (if ((>Int 478) -399) then 302.53091989645037 else 342.91199614043785) else 13.401299713082905)) else (if False then (\x:Integer -> 283) else (\x:Integer -> (if True then -253 else x)))) else (if ((\fresh_1236:Integer -> False) 71) then (if True then (\x:Integer -> 29) else (\x:Integer -> -62)) else (if ((if True then (\fresh_1237:String -> (! (if True then False else True))) else (\fresh_1237:String -> False)) "nebVIgPxiDwTEVBoJtXKPxGQbRWMMboPXzuCiorQvDrOLUcpboBxDUfBdiKUpAHTAJbNvXxcaNFCyhHhxrZu") then (if (if True then ((\fresh_1244:Double -> False) -8.2871690754711) else (if False then False else False)) then (if True then (\x:Integer -> 82) else (if True then (\x:Integer -> (if False then x else 541)) else (\x:Integer -> -322))) else (\x:Integer -> -52)) else (\x:Integer -> -568)))),115,9,11406.353,42
(x:Integer -> (Integer)),Abstract Integer,(\x:Integer -> -5),2,2,6276.372,-5
(x:Integer -> (Integer)),Abstract Integer,(if True then (if False then (if (if False then True else False) then (if ((if (if (if True then True else False) then False else True) then (\fresh_1250:Integer -> False) else (if True then (>Int 121) else (\fresh_1250:Integer -> True))) (if (if False then False else True) then -190 else -266)) then (if (! False) then (\x:Integer -> x) else (\x:Integer -> x)) else (\x:Integer -> (if False then x else x))) else (\x:Integer -> x)) else ((\fresh_1258:Boolean -> (\x:Integer -> (if (if False then fresh_1258 else False) then x else 116))) False)) else (if (if False then ((if (if False then (if True then (if True then True else True) else True) else False) then (if False then ! else !) else !) (if (if ((\fresh_1260:Boolean -> True) True) then False else False) then False else False)) else False) then (if True then (if False then ((\fresh_1264:Integer -> (-Int -341)) 110) else (\x:Integer -> ((\fresh_1266:Boolean -> -118) True))) else (\x:Integer -> 70)) else (\x:Integer -> (if False then x else 605)))),114,9,11193.228,116
(x:Integer -> (Integer)),Abstract Integer,((\fresh_1267:Boolean -> (if (if (if (if False then False else fresh_1267) then ((\fresh_1270:Integer -> fresh_1267) ((\fresh_1271:Double -> 274) (if fresh_1267 then -52.00211835230667 else 327.99479441966787))) else (if (if True then fresh_1267 else fresh_1267) then True else False)) then ((\fresh_1272:Integer -> fresh_1267) 777) else False) then (if fresh_1267 then (\x:Integer -> ((\fresh_1273:Boolean -> 178) True)) else (\x:Integer -> ((\fresh_1274:Integer -> 606) 487))) else (if False then (if True then (\x:Integer -> x) else (\x:Integer -> -19)) else (-Int (if fresh_1267 then 200 else 382))))) True),58,9,7710.585,178
(x:Integer -> (Integer)),Abstract Integer,(if False then (\x:Integer -> -2) else (\x:Integer -> x)),6,3,6097.07,42
(x:Integer -> (Integer)),Abstract Integer,(if (((if ((\fresh_1343:Boolean -> False) (if (if True then (if False then False else False) else False) then True else False)) then (\fresh_1333:Integer -> (\fresh_1295:(fresh_1294:Boolean -> (Integer)) -> True)) else (if ((\fresh_1376:Integer -> False) 235) then (\fresh_1333:Integer -> (\fresh_1295:(fresh_1294:Boolean -> (Integer)) -> (if False then True else False))) else (\fresh_1333:Integer -> (\fresh_1295:(fresh_1294:Boolean -> (Integer)) -> False)))) ((if True then (\fresh_1334:Integer -> -904) else (if False then (*Int -241) else (\fresh_1334:Integer -> fresh_1334))) ((\fresh_1335:Integer -> -217) (if False then -104 else -151)))) ((if True then (\fresh_1296:Object -> (\fresh_1294:Boolean -> -634)) else (\fresh_1296:Object -> (\fresh_1294:Boolean -> -79))) -57.485281412606135)) then (((if ((\fresh_1389:Integer -> False) -471) then (if (if True then True else True) then (\fresh_1388:Boolean -> (\fresh_1387:Boolean -> (+Int -27))) else (\fresh_1388:Boolean -> (\fresh_1387:Boolean -> (-Int 41)))) else (\fresh_1388:Boolean -> (\fresh_1387:Boolean -> (+Int 295)))) False) False) else (if (if False then True else True) then (\x:Integer -> x) else (if (if False then (if ((\fresh_1449:Integer -> False) -393) then True else False) else False) then ((\fresh_1450:Boolean -> (if (if fresh_1450 then True else (! fresh_1450)) then (\x:Integer -> 83) else (\x:Integer -> x))) ((>Int -1) (if True then (if False then 142 else 229) else -580))) else (if (if False then (if True then True else True) else True) then (\x:Integer -> -292) else (if False then (\x:Integer -> -77) else (\x:Integer -> -14)))))),150,9,14033.747,42
