Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
Double,Double,(if (if False then (if True then (if ((\fresh_1:Integer -> True) ((\fresh_2:Integer -> fresh_2) (if (if False then True else False) then (if True then 17 else -25) else -145))) then True else (if (if False then False else True) then (((if False then --> else &&) True) True) else True)) else True) else (if True then False else False)) then (if True then ((if False then (\fresh_14:Integer -> 49.38565123312595) else (if True then (\fresh_14:Integer -> -54.71416887777063) else (\fresh_14:Integer -> ((\fresh_70:Object -> -567.9726611718602) False)))) ((if False then (\fresh_15:Boolean -> 352) else (\fresh_15:Boolean -> -815)) False)) else (((if True then (\fresh_75:Integer -> (\fresh_71:Boolean -> (if fresh_71 then 442.86628321605707 else 438.35448874077247))) else (\fresh_75:Integer -> (\fresh_71:Boolean -> 478.2553471582977))) -91) ((if (if True then (! False) else True) then (\fresh_72:Integer -> False) else (if False then (!=Int -492) else (\fresh_72:Integer -> False))) (if True then 461 else -348)))) else 64.37181981511651),102,9,9786.508,64.37181981511651
Double,Double,(((if True then (\fresh_193:Integer -> (\fresh_80:Integer -> -145.26654907852108)) else (\fresh_193:Integer -> ((\fresh_223:Integer -> (\fresh_80:Integer -> 596.1326628031618)) -284))) ((if (if (if False then False else (if True then False else False)) then True else True) then (if True then (\fresh_194:Double -> 53) else (\fresh_194:Double -> 547)) else ((\fresh_203:Integer -> (\fresh_194:Double -> fresh_203)) (if ((\fresh_204:Integer -> False) 327) then 206 else 197))) ((\fresh_195:Top -> -421.72048759827493) (if (if True then True else (if True then True else True)) then - else 166)))) ((if (if True then ((\fresh_100:Integer -> False) -434) else (if True then (if True then (! (if False then False else False)) else True) else (if False then False else False))) then ((\fresh_104:Top -> (\fresh_81:Integer -> fresh_81)) 176) else ((\fresh_118:Object -> (\fresh_81:Integer -> 186)) "UhmHGvbhUuiwubLIBqpIASmgvTLDGJRKRUvpoVRRUHfDXtqgeVPpbUfgwGvjgtiuhjaPDcKHvnSsTlahzdRJzkgcKGbTkccUxymjvXKed")) ((if (if False then False else True) then (\fresh_82:Boolean -> -480) else (\fresh_82:Boolean -> -82)) False))),99,9,9568.827,-145.26654907852108
Double,Double,-240.5890520145533,1,1,3328.281,-240.5890520145533
Double,Double,(if ((if (if True then True else (((\fresh_242:Top -> !) -0.6068395891450686) False)) then (if (if False then False else True) then (if (if False then False else True) then (\fresh_224:Integer -> (if False then (! True) else True)) else (\fresh_224:Integer -> True)) else ((\fresh_255:Boolean -> (\fresh_224:Integer -> (! fresh_255))) True)) else (((\fresh_299:Top -> (\fresh_259:Boolean -> (\fresh_224:Integer -> False))) (if False then "akRt" else 274)) False)) (if False then -477 else ((\fresh_225:Boolean -> -19) False))) then (if False then -334.500182232625 else 0.474483491331093) else (if False then -288.7155979932363 else -929.2328384997367)),64,9,6751.333,0.474483491331093
Double,Double,290.6715792027649,1,1,3330.634,290.6715792027649
Double,Double,6.859352816456763,1,1,3319.731,6.859352816456763
Double,Double,((((\fresh_369:Boolean -> (\fresh_307:Integer -> (\fresh_304:Integer -> 34.858462189072355))) False) (((if ((if (if True then False else False) then ! else !) True) then (\fresh_309:Boolean -> (\fresh_308:Integer -> fresh_308)) else (\fresh_309:Boolean -> (\fresh_308:Integer -> 586))) (if True then ((\fresh_313:Boolean -> True) (if True then True else False)) else (! True))) 45)) ((\fresh_305:Boolean -> ((\fresh_306:Boolean -> (if fresh_305 then 53 else 226)) fresh_305)) False)),49,9,5734.433,34.858462189072355
Double,Double,(if False then (if (if ((\fresh_379:String -> True) "KQJUzPfhWeEMkohjOWnzaajGKoKrLfwxogrLtFJyiMqgBEjdIEFXSRtRfmZcuoyCgscmxrFPfIJXKSydFnyyDCDEGgyywmADnybYeqgbnxLysvJsOiXfGoDuzNeVRfeieLrpJAYOSfFTIrAROsGFMfqDrkUjAGDdknmVHLLkdjRLwMzfCDOuggOFACmoMHyTqLEcRx") then False else (! False)) then (if False then 552.527042823505 else ((if (if False then True else True) then (\fresh_381:Object -> 268.51422853223795) else (\fresh_381:Object -> -608.9353821161958)) 385.5885434655235)) else (if ((\fresh_386:Integer -> False) ((\fresh_387:Integer -> fresh_387) 567)) then 494.7641559005569 else -307.217743441954)) else 368.27868788944033),37,7,4887.503,368.27868788944033
Double,Double,((if ((((\fresh_396:Boolean -> (\fresh_394:Boolean -> (\fresh_393:Object -> fresh_394))) True) (if (if True then True else False) then (if False then (if True then True else False) else False) else (! True))) 64) then (if True then ((\fresh_401:String -> (\fresh_392:Integer -> 611.2265802978953)) (if True then "SoIjYNVvvyBzgBnJefqSdusdaDGPqZpMCENNWwOxhGK" else "kJyRHEBhJrsGCsVognnDPlLRFuDuiEgdfvAhAvJuvAJfBaoYlYfkiHdfhu")) else ((\fresh_413:Integer -> (\fresh_392:Integer -> 204.10236886837134)) (if (if (! True) then False else False) then 14 else 627))) else (if True then (if ((if False then (\fresh_448:Boolean -> fresh_448) else !) ((\fresh_451:Object -> True) 275)) then (if True then (\fresh_392:Integer -> -503.8428111896785) else (if False then (\fresh_392:Integer -> -29.77048020119438) else (\fresh_392:Integer -> 469.2281330195612))) else ((\fresh_467:Boolean -> (if False then (\fresh_392:Integer -> 256.80378517343746) else (\fresh_392:Integer -> -88.54975174639316))) (if True then True else False))) else ((\fresh_471:Boolean -> (\fresh_392:Integer -> (if True then -205.2896873427279 else -218.98301830908918))) (if False then True else ((<Int 747) 503))))) 16),100,9,9580.492,-88.54975174639316
Double,Double,(((if True then (\fresh_479:Boolean -> (\fresh_478:Object -> 111.75168441233288)) else (\fresh_479:Boolean -> ((\fresh_493:Integer -> (\fresh_478:Object -> (if False then 221.3041084223046 else -832.4238523210569))) 97))) ((\fresh_480:Integer -> False) ((if False then (if False then (\fresh_481:Integer -> fresh_481) else (\fresh_481:Integer -> fresh_481)) else (if True then (\fresh_481:Integer -> fresh_481) else (\fresh_481:Integer -> 301))) (if False then 693 else 193)))) (if True then -477 else "kGsFgDmaqUIODVTVyUjfAtDavprjywseWEDNLBSlzkDVLIp")),42,9,5309.956,111.75168441233288
Double,Double,367.349556176909,1,1,3331.994,367.349556176909
Double,Double,-39.95262811241777,1,1,3318.641,-39.95262811241777
Double,Double,-18.872724028817906,1,1,3319.553,-18.872724028817906
Double,Double,((if (if (if ((\fresh_499:String -> False) "ZwnngYPBePEWUtQplZvSDgPwqRAZlAvPMJFBrnTgNypoypTqJJUwuJ") then (if True then False else True) else False) then (if (! True) then False else False) else (if (if (if (if False then False else False) then True else True) then (if (! False) then False else False) else True) then True else (((if False then >=Int else <Int) 821) -279))) then (\fresh_498:Boolean -> ((if (if fresh_498 then fresh_498 else fresh_498) then (\fresh_516:Integer -> 42.915386527598685) else (\fresh_516:Integer -> 179.77929112387076)) (if True then -601 else (if True then -789 else 332)))) else (\fresh_498:Boolean -> -76.15539359954784)) True),65,8,6788.529,-76.15539359954784
