Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
Integer,Integer,562,1,1,428.172,562
Integer,Integer,580,1,1,427.892,580
Integer,Integer,(if False then -169 else (if True then -600 else -767)),7,3,698.231,-600
Integer,Integer,(if False then -106 else -80),4,2,488.258,-80
Integer,Integer,-153,1,1,414.272,-153
Integer,Integer,(if True then ((\fresh_8:Object -> 148) *Int) else -330),7,4,706.508,148
Integer,Integer,((\fresh_12:Boolean -> 360) True),4,3,535.286,360
Integer,Integer,253,1,1,421.155,253
Integer,Integer,345,1,1,428.077,345
Integer,Integer,-118,1,1,414.684,-118
Integer,Integer,(if True then (if False then (if False then -320 else 106) else 241) else -193),10,4,905.672,241
Integer,Integer,(if True then (if True then (if False then 14 else -289) else 192) else 240),10,4,911.21,-289
Integer,Integer,((if False then (\fresh_21:Object -> -378) else (if True then (\fresh_21:Object -> -201) else (\fresh_21:Object -> -237))) 770),12,5,1080.814,-201
Integer,Integer,268,1,1,422.252,268
Integer,Integer,(if False then 125 else -234),4,2,482.658,-234
Integer,Integer,252,1,1,421.102,252
Integer,Integer,(if False then -183 else -261),4,2,488.672,-261
Integer,Integer,189,1,1,419.302,189
Integer,Integer,-190,1,1,414.878,-190
Integer,Integer,-73,1,1,416.169,-73
Integer,Integer,((\fresh_60:Boolean -> -138) (if False then True else True)),7,3,691.997,-138
Integer,Integer,(if (if False then True else True) then 113 else 173),7,3,676.234,113
Integer,Integer,((\fresh_66:Boolean -> 697) True),4,3,537.473,697
Integer,Integer,((*Int 392) 194),5,3,604.405,76048
Integer,Integer,((\fresh_76:Object -> 141) -384),4,3,528.264,141
Integer,Integer,437,1,1,430.672,437
Integer,Integer,84,1,1,418.663,84
Integer,Integer,(if False then 939 else (if True then -283 else 230)),7,3,679.41,-283
Integer,Integer,((if False then (*Int 415) else (*Int 436)) ((\fresh_99:Boolean -> -460) False)),13,4,1225.869,-200560
Integer,Integer,(if False then -906 else -454),4,2,508.549,-454
Integer,Integer,336,1,1,427.676,336
Integer,Integer,(if True then -50 else 206),4,2,495.574,-50
Integer,Integer,(if False then (if (if True then True else True) then 165 else -104) else -384),10,4,907.602,-384
Integer,Integer,((if True then (\fresh_109:Integer -> fresh_109) else (\fresh_109:Integer -> fresh_109)) -681),8,4,806.786,-681
Integer,Integer,(if False then (if False then (if False then -168 else 12) else -434) else -596),10,4,920.882,-596
Integer,Integer,581,1,1,427.897,581
Integer,Integer,71,1,1,418.924,71
Integer,Integer,774,1,1,435.182,774
Integer,Integer,18,1,1,419.621,18
Integer,Integer,-323,1,1,420.648,-323
Integer,Integer,139,1,1,418.414,139
Integer,Integer,53,1,1,419.256,53
Integer,Integer,-370,1,1,422.325,-370
Integer,Integer,(if (if (if True then (if True then True else True) else True) then True else False) then 849 else -956),13,5,1223.676,849
Integer,Integer,92,1,1,418.637,92
Integer,Integer,((\fresh_128:Boolean -> 561) True),4,3,532.894,561
Integer,Integer,808,1,1,436.489,808
Integer,Integer,-250,1,1,418.739,-250
Integer,Integer,(if False then (if False then 269 else -216) else -420),7,3,677.606,-420
Integer,Integer,((*Int 80) (if (if False then False else True) then 76 else 118)),11,4,1004.849,6080
Integer,Integer,-111,1,1,414.568,-111
Integer,Integer,-212,1,1,416.127,-212
Integer,Integer,((\fresh_137:Boolean -> ((\fresh_141:Boolean -> -230) False)) (if False then True else False)),10,5,948.122,-230
Integer,Integer,((if True then (+Int -173) else (*Int -109)) 14),10,4,947.012,-159
