Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
(x:Integer -> ({ x:Integer where ((>[??] x) 0) })),Refined Abstract Integer,(if (if True then ((if False then ((\fresh_26:Boolean -> (\fresh_1:Integer -> True)) (if (if (if False then True else False) then True else True) then True else True)) else (if (if (if (if True then True else True) then True else False) then True else ((>=Int -177) 43)) then (if (! True) then (\fresh_1:Integer -> False) else (if False then (<=Int 278) else (<=Int 101))) else (if (if True then True else True) then (\fresh_1:Integer -> True) else (\fresh_1:Integer -> (if True then False else False))))) ((if True then (if ((\fresh_3:Double -> (if True then False else False)) 253.77742043807626) then (\fresh_2:Top -> 128) else (\fresh_2:Top -> -471)) else (\fresh_2:Top -> ((\fresh_25:Top -> 45) False))) -513)) else ((if True then (if True then (if (if (if True then True else (if True then False else True)) then True else True) then (\fresh_67:String -> True) else (\fresh_67:String -> False)) else ((\fresh_89:Boolean -> (\fresh_67:String -> False)) True)) else (if (((\fresh_99:Integer -> !) (if (if False then False else True) then (if False then 43 else -76) else -537)) True) then (if False then (\fresh_67:String -> True) else (\fresh_67:String -> True)) else (\fresh_67:String -> (if True then True else False)))) ((if False then (if False then (\fresh_68:Integer -> "uAYHScUWhYqoibrozRdYEIYcTNXzFjqYSPLljcZTOBGCFeRoldjMIDOUylyzlxXzeCNvGle") else (if True then (\fresh_68:Integer -> "HWQmDnwgdwoaxZeSRPUXKesQjIVeciwyZHANFHfeTSmqCaWJwSGeiCXYvpmcocmeMixzB") else (\fresh_68:Integer -> "BAoEXNDiLDDXmSIvdTSdffKfSAXJetRXKCTwtInepcvmYxQhVdbqdaVBHtOIHEOPFzQvqdqYeAvogBeAbyKGKLCtneKmsFcXGEjUmkNWBnvVAHLMYvEpvCihGxvhWXRUCLxXy"))) else (\fresh_68:Integer -> ((\fresh_77:Integer -> "ZpbKD") 364))) (if False then 39 else -150)))) then (if (if True then True else (! False)) then (\x:Integer -> (if True then 1 else (if False then 1 else 1))) else (\x:Integer -> ((if False then (if (! (if (! True) then False else (! True))) then (\fresh_108:Object -> x) else (\fresh_108:Object -> (if False then x else x))) else (if ((if True then (\fresh_115:Integer -> True) else (\fresh_115:Integer -> False)) 385) then (if ((\fresh_116:Object -> True) <Int) then (\fresh_108:Object -> 1) else (if False then (\fresh_108:Object -> x) else (\fresh_108:Object -> 1))) else (\fresh_108:Object -> 1))) True))) else (if ((\fresh_117:Boolean -> ((if (! fresh_117) then (\fresh_164:Integer -> fresh_117) else (if (! fresh_117) then (\fresh_164:Integer -> fresh_117) else (\fresh_164:Integer -> False))) 552)) (if (if False then ((\fresh_118:Boolean -> (! True)) (if True then False else (! True))) else False) then (if False then False else (if (if (if (if True then False else False) then False else False) then True else False) then ((\fresh_121:Boolean -> True) False) else False)) else ((if (((\fresh_150:Integer -> !) -295) True) then (\fresh_122:String -> (if False then False else True)) else (\fresh_122:String -> (if False then True else False))) ((\fresh_123:Boolean -> "kcBSuyZZvjowcNBAinXiSAkRLJJyjIIHFJXdRdLxXyWIAd") True)))) then ((if True then (if True then (\fresh_172:Integer -> (\x:Integer -> 1)) else -Int) else ((if (if False then True else (if True then True else True)) then (if (! False) then (\fresh_195:Boolean -> *Int) else (\fresh_195:Boolean -> %)) else (\fresh_195:Boolean -> *Int)) (if (if False then False else True) then (! (! (! True))) else (if (if False then True else False) then (if False then (if True then True else False) else False) else True)))) -468) else (if ((\fresh_205:Boolean -> fresh_205) True) then (if False then ((\fresh_206:Boolean -> (/Int (if True then 341 else -308))) (if ((\fresh_207:Integer -> True) 131) then True else (if True then True else False))) else ((\fresh_223:Boolean -> (\x:Integer -> 1)) (if True then True else ((\fresh_228:Boolean -> (if False then fresh_228 else fresh_228)) False)))) else (if (if ((\fresh_229:Object -> ((\fresh_231:Integer -> False) 284)) 246.84871456348728) then True else False) then ((if True then (\fresh_232:Object -> (\x:Integer -> (if True then 1 else x))) else (\fresh_232:Object -> (\x:Integer -> (if False then x else x)))) False) else ((if (if (! False) then False else True) then (\fresh_245:Top -> (\x:Integer -> (if False then x else 1))) else (\fresh_245:Top -> (\x:Integer -> 1))) 414))))),431,10,38502.772,1
(x:Integer -> ({ x:Integer where ((>[??] x) 0) })),Refined Abstract Integer,(if True then (if False then (if True then (if True then (if (if True then (if True then (! False) else True) else (if True then (if (if False then False else False) then True else True) else True)) then (\x:Integer -> x) else (if False then (/Int -65) else (\x:Integer -> x))) else ((\fresh_260:Boolean -> (\x:Integer -> ((-Int x) x))) ((\fresh_261:Integer -> True) 366))) else (if False then (if (if False then True else True) then (if (if True then False else True) then (if False then (\x:Integer -> x) else (% -260)) else (\x:Integer -> x)) else (if False then (\x:Integer -> x) else (if True then (\x:Integer -> 1) else (\x:Integer -> x)))) else (if False then ((\fresh_334:Double -> (\x:Integer -> x)) 68.39428343032353) else (if (if (if True then True else True) then (if False then True else False) else True) then (\x:Integer -> 1) else (\x:Integer -> (if True then (if False then x else 1) else x)))))) else ((if True then (if False then (if (if (if (! True) then True else False) then False else False) then (if False then +Int else %) else (\fresh_339:Integer -> (if False then (\x:Integer -> x) else (\x:Integer -> x)))) else (\fresh_339:Integer -> (\x:Integer -> 1))) else ((if False then (\fresh_345:Boolean -> %) else ((\fresh_349:Integer -> (\fresh_345:Boolean -> *Int)) -214)) (if False then False else True))) (if (if (if False then False else False) then True else False) then (if True then 20 else (if (if (if True then False else (if False then False else True)) then False else (if True then True else True)) then -649 else ((\fresh_341:Top -> 211) (&& True)))) else 100))) else (if ((if True then (if ((\fresh_351:Object -> ((\fresh_359:Boolean -> True) False)) False) then (\fresh_350:Integer -> False) else (if ((\fresh_360:Integer -> True) 103) then (\fresh_350:Integer -> False) else (\fresh_350:Integer -> False))) else (\fresh_350:Integer -> (if (if True then False else True) then ((\fresh_366:Object -> True) /) else False))) -500) then (if True then (if ((\fresh_367:Boolean -> ((if True then ! else !) False)) True) then (\x:Integer -> ((\fresh_369:Boolean -> (if fresh_369 then (if True then x else x) else x)) True)) else ((\fresh_379:String -> ((if True then *Int else %) 144)) ((\fresh_380:Integer -> "zRYgGfBkquuHXBPAUAWUwyHvZqpQcWeIoBjkRKsdWpbrurNCqkHMrQoFBCKKMnpaleAYWhBZvpVzmMOLeiMFDQZvvtbLFeKDWNrqVEwdkMoINEmkUteswFPoTrHxgYuXDoJGFlXjRtbwYsK") 129))) else (\x:Integer -> (if True then 1 else ((\fresh_387:Boolean -> x) True)))) else (\x:Integer -> 1))),263,10,24368.81,1
(x:Integer -> ({ x:Integer where ((>[??] x) 0) })),Refined Abstract Integer,(if True then (\x:Integer -> (if ((if True then (if (if False then True else False) then (\fresh_388:Integer -> (if (if False then True else False) then False else True)) else (if (! True) then (\fresh_388:Integer -> True) else (if True then (\fresh_388:Integer -> False) else (\fresh_388:Integer -> False)))) else (if True then (\fresh_388:Integer -> (if True then True else False)) else (\fresh_388:Integer -> True))) ((if False then (\fresh_389:Integer -> (if True then -115 else -53)) else (\fresh_389:Integer -> 16)) ((if False then (-Int x) else (\fresh_390:Integer -> x)) (if False then x else -339)))) then 1 else 1)) else (\x:Integer -> x)),67,10,12727.197,1
(x:Integer -> ({ x:Integer where ((>[??] x) 0) })),Refined Abstract Integer,(if (((((\fresh_405:Boolean -> (\fresh_404:Boolean -> (\fresh_402:String -> (\fresh_401:Integer -> fresh_405)))) ((\fresh_406:Integer -> False) -164)) (if False then True else False)) ((\fresh_403:Integer -> "OiFjBVMEWUKZLPoUrsAkCaEdBgbYVcTxTgyxcMcYMmOFeYSEdSijLXppVUDa") 92)) 632) then (\x:Integer -> (((\fresh_482:Object -> (if False then (\fresh_481:Integer -> 1) else (\fresh_481:Integer -> 1))) 99.0199872856012) -90)) else (if (if (if ((\fresh_488:Top -> True) (if False then -382.26051930388775 else False)) then True else False) then ((if ((\fresh_491:Integer -> (! False)) 494) then (if False then (|| True) else ((\fresh_503:Top -> !) "pBtcdrZuFLdtbWB")) else !) True) else False) then ((if True then (if True then (\fresh_504:Boolean -> (\x:Integer -> 1)) else (\fresh_504:Boolean -> (\x:Integer -> 1))) else (\fresh_504:Boolean -> (\x:Integer -> 1))) (if False then (if False then True else True) else (if (if True then False else ((if True then ! else !) False)) then ((\fresh_506:Integer -> False) -249) else (if False then (if (if True then True else False) then (if False then False else True) else True) else ((\fresh_511:Top -> True) >))))) else (((if False then (\fresh_553:Boolean -> /Int) else (if True then (\fresh_553:Boolean -> (\fresh_552:Integer -> (\x:Integer -> 1))) else (\fresh_553:Boolean -> +Int))) False) -111))),133,10,15633.502,1
(x:Integer -> ({ x:Integer where ((>[??] x) 0) })),Refined Abstract Integer,(if (if False then False else (if ((if True then (if (if True then False else False) then (\fresh_581:Double -> False) else (\fresh_581:Double -> True)) else (if False then (\fresh_581:Double -> ((\fresh_618:Boolean -> False) (if True then True else True))) else (\fresh_581:Double -> False))) (if (if ((\fresh_582:Integer -> True) 17) then True else False) then 660.2493153812733 else (if False then -7.932558733691628 else -362.6601350902052))) then True else (! False))) then (if True then (if (if False then True else (if ((if False then (if False then ! else !) else (\fresh_622:Boolean -> fresh_622)) False) then ((if (if (if True then True else False) then True else (if False then False else True)) then (if False then ! else !) else (if False then ! else !)) (if False then True else True)) else True)) then (\x:Integer -> 1) else ((\fresh_624:Boolean -> (if ((\fresh_625:Integer -> fresh_624) -322) then (\x:Integer -> (if False then x else 1)) else (\x:Integer -> 1))) False)) else (if False then (((\fresh_631:Integer -> (\fresh_630:Boolean -> (\x:Integer -> x))) (if True then (if ((\fresh_635:Top -> True) "PrkQfEnjucjAXqJKTxdqUFOIWxaDe") then ((\fresh_636:Integer -> 172) -119) else 191) else (if True then 232 else -113))) True) else (if False then (\x:Integer -> ((\fresh_728:Boolean -> x) True)) else (if ((if True then (==Int 950) else (\fresh_729:Integer -> False)) 250) then (if ((\fresh_731:Boolean -> fresh_731) True) then (\x:Integer -> x) else (\x:Integer -> x)) else (if True then (if False then (\x:Integer -> x) else (% (if False then 31 else -668))) else (\x:Integer -> 1)))))) else (\x:Integer -> 1)),172,10,17905.929,1
(x:Integer -> ({ x:Integer where ((>[??] x) 0) })),Refined Abstract Integer,((if True then (\fresh_753:Integer -> ((\fresh_863:Boolean -> (if True then (\x:Integer -> 1) else (\x:Integer -> 1))) True)) else /Int) (if True then (if False then (((if (! (if False then False else False)) then (\fresh_755:Boolean -> (\fresh_754:Object -> (if fresh_755 then -220 else 194))) else (\fresh_755:Boolean -> (\fresh_754:Object -> 166))) (if ((\fresh_756:Integer -> True) 0) then True else False)) -74) else 343) else (((if True then (if True then (\fresh_787:Integer -> (\fresh_786:Object -> 266)) else (\fresh_787:Integer -> (if True then (\fresh_786:Object -> fresh_787) else (\fresh_786:Object -> fresh_787)))) else (\fresh_787:Integer -> (\fresh_786:Object -> (if False then 219 else -140)))) (if True then (if (! False) then ((if False then (\fresh_789:Integer -> -423) else (\fresh_789:Integer -> 479)) (if True then 154 else 435)) else -22) else ((if (! (if True then True else False)) then (\fresh_790:Integer -> fresh_790) else (\fresh_790:Integer -> (if True then 76 else 703))) -101))) False))),102,10,14350.652,1
(x:Integer -> ({ x:Integer where ((>[??] x) 0) })),Refined Abstract Integer,(if True then (if True then (if (if True then (if False then False else ((&& False) (if False then ((\fresh_883:Double -> True) 755.7073130335489) else False))) else True) then ((if ((if (! True) then ! else (\fresh_890:Boolean -> fresh_890)) False) then (if (if (! False) then True else (if False then False else True)) then (if False then +Int else (\fresh_885:Integer -> (\x:Integer -> 1))) else (\fresh_885:Integer -> (if (if False then True else True) then (\x:Integer -> 1) else (\x:Integer -> 1)))) else (\fresh_885:Integer -> (\x:Integer -> 1))) (if False then (((\fresh_887:Object -> string_length) -580) (if False then (if True then "OaCUQCDxmjkJUqoHvuLbazLrjwtGzZWnaokDpdzpyWrrsvRrJEVsTmOGKhcDZSwStJYEVdcMTNChOWvVGCRCATmTDMbFVQDyiOFZzfvYWQbYSjFcxCFOLABbhvLrSZrnTglwDefnaAcdryGzIbMNNBIFGTPAR" else "KZdOwbPsWZrlYylXrgiBLIIwWrOTSvfnAsHNQLGFnWVYXrsgDvNUrdNEvSKsUDrOXjjVDbPLcoiDltpVnHzTMkGFcwzsYcJssRnDYQGYBBYVrgRMHslDcrDlsjjyxTTfxeFCuphFFxJcgSuGBHMgDNxfTjtiakcUcOioPxfCIXUCeyYPGtlQZaPY") else "lzTXRZQKCxLRthQEeBLXYvBbzYVtoIJCynfHkrwgRoRLCAUrGFuMWCqSuatHYqRSwgwQcgQmLyNsBaeKPbDOaNDdkkfWfpghUZjFTMCM")) else ((-Int -9) 223))) else (if (if ((\fresh_901:String -> True) "KtTjUtAyrRikMGDFTvyuWermLVHm") then (if False then True else False) else True) then (\x:Integer -> (if False then 1 else 1)) else (if (! True) then (if True then (\x:Integer -> x) else (\x:Integer -> x)) else (if ((\fresh_919:Integer -> False) 301) then ((\fresh_931:Integer -> (\x:Integer -> 1)) 86) else (\x:Integer -> 1))))) else (+Int (if True then -529 else (if (if (if False then True else True) then (if False then False else True) else ((\fresh_956:Integer -> False) -348)) then -41 else ((\fresh_957:Double -> 16) ((\fresh_958:Integer -> -370.35345615654364) 177)))))) else (\x:Integer -> x)),148,10,16302.3,1
(x:Integer -> ({ x:Integer where ((>[??] x) 0) })),Refined Abstract Integer,(\x:Integer -> ((if True then ((if True then (\fresh_970:Integer -> (\fresh_962:Integer -> 1)) else (if True then /Int else /Int)) x) else (\fresh_962:Integer -> fresh_962)) (if False then (if (if (! True) then True else (if True then (! True) else True)) then ((\fresh_968:Boolean -> -15) (if False then False else False)) else -333) else -197))),40,8,12520.284,1
(x:Integer -> ({ x:Integer where ((>[??] x) 0) })),Refined Abstract Integer,(if ((if (if ((if True then (if False then ! else !) else !) False) then (! False) else (((\fresh_1028:Double -> !) (if (if True then True else False) then (if True then -153.5603869637313 else 299.9398615612642) else ((\fresh_1029:Boolean -> 694.403719932322) False))) False)) then (if False then ! else (\fresh_996:Boolean -> False)) else (if True then (\fresh_996:Boolean -> False) else !)) (if True then True else ((\fresh_997:Integer -> (if False then ((\fresh_1023:Integer -> (! True)) (if False then (if True then 439 else 92) else fresh_997)) else (if True then True else False))) ((if True then ((\fresh_1015:Integer -> (\fresh_998:Integer -> -228)) 1053) else (if True then (\fresh_998:Integer -> -115) else (\fresh_998:Integer -> -353))) (((\fresh_1014:Top -> (\fresh_999:Boolean -> 432)) False) (if (! True) then False else (! False))))))) then (if True then ((\fresh_1030:Top -> (if False then (if True then (\x:Integer -> x) else (if (if True then True else False) then (-Int -74) else (\x:Integer -> x))) else (if True then (\x:Integer -> ((\fresh_1043:Object -> 1) string_length)) else ((if (if True then False else True) then +Int else -Int) 557)))) -211) else (if False then (if (if True then (if True then ((\fresh_1048:Top -> True) (--> (if True then True else False))) else (! ((<Int 252) 142))) else ((\fresh_1053:Boolean -> False) False)) then (if False then (if True then (\x:Integer -> (if False then 1 else x)) else (+Int ((\fresh_1055:Integer -> fresh_1055) -335))) else ((\fresh_1056:Boolean -> (\x:Integer -> x)) (if (if False then (if False then False else True) else True) then False else False))) else (if False then (\x:Integer -> 1) else (\x:Integer -> 1))) else (\x:Integer -> ((if (if True then True else True) then (\fresh_1059:Integer -> 1) else (+Int (if True then x else x))) ((if (! True) then (\fresh_1072:Integer -> fresh_1072) else (-Int 377)) -435))))) else ((\fresh_1080:Boolean -> (if (if True then False else (if fresh_1080 then True else (if (! True) then True else False))) then (if True then (\x:Integer -> (if fresh_1080 then 1 else 1)) else (if True then (if False then (*Int 311) else (\x:Integer -> 1)) else (\x:Integer -> 1))) else (if False then (if True then (\x:Integer -> 1) else (\x:Integer -> 1)) else (if fresh_1080 then (\x:Integer -> 1) else (\x:Integer -> 1))))) (if (if False then (if True then False else True) else False) then False else (((\fresh_1082:Integer -> (\fresh_1081:Integer -> False)) 209) (if True then 91 else (if True then 616 else -355)))))),289,10,26490.0,1
(x:Integer -> ({ x:Integer where ((>[??] x) 0) })),Refined Abstract Integer,((if False then (if (if True then (if True then False else True) else True) then (if (if False then (! (if True then True else True)) else (! ((\fresh_1117:Integer -> False) 39))) then (if (if True then True else ((if True then (\fresh_1120:Integer -> True) else (\fresh_1120:Integer -> True)) (if False then 714 else -450))) then ((\fresh_1121:Boolean -> (\fresh_1108:Top -> (\x:Integer -> x))) True) else (\fresh_1108:Top -> (+Int (if True then -80 else -24)))) else (if True then (if True then (\fresh_1108:Top -> (\x:Integer -> x)) else (\fresh_1108:Top -> ((if True then +Int else %) 358))) else (\fresh_1108:Top -> (*Int -476)))) else (\fresh_1108:Top -> (\x:Integer -> ((% x) -242)))) else (if False then (if (if False then False else True) then (\fresh_1108:Top -> (if False then (if ((\fresh_1253:Top -> False) !=) then (+Int -611) else (\x:Integer -> x)) else (\x:Integer -> x))) else (if ((if True then ! else !) False) then (\fresh_1108:Top -> (if (if True then False else True) then (\x:Integer -> x) else (\x:Integer -> x))) else (\fresh_1108:Top -> (if True then (*Int 357) else (\x:Integer -> x))))) else (if ((\fresh_1280:Integer -> True) (if True then (if (if (if False then True else False) then False else False) then -7 else (if False then 354 else -541)) else -102)) then (if True then (\fresh_1108:Top -> (\x:Integer -> 1)) else (if (if False then (if True then False else True) else ((\fresh_1297:Boolean -> True) False)) then (\fresh_1108:Top -> (\x:Integer -> x)) else (\fresh_1108:Top -> (if False then (\x:Integer -> 1) else (-Int -248))))) else (\fresh_1108:Top -> (\x:Integer -> 1))))) (+Int -136)),179,10,18284.99,1
