Typee,Pretty Typee,Individual,Tree Size,Tree Depth,Diversity,Semantic Diversity
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((if ((if (! True) then ((if (if True then False else False) then (if True then >=Int else <=Int) else <Int) -259) else (\fresh_5:Integer -> (if True then False else True))) (if True then (if ((>Int -232) (if False then -556 else -417)) then -702 else 141) else (if False then -375 else -361))) then (if False then (\fresh_1:Boolean -> 1) else (if (if False then True else True) then (\fresh_1:Boolean -> 1) else (\fresh_1:Boolean -> 1))) else (if True then (\fresh_1:Boolean -> 1) else (if (if False then (if True then False else False) else True) then (\fresh_1:Boolean -> 1) else (\fresh_1:Boolean -> 1)))) (if True then ((if True then (\fresh_2:Integer -> True) else (if False then (!=Int 317) else (\fresh_2:Integer -> False))) ((if True then (\fresh_3:Integer -> 119) else (\fresh_3:Integer -> fresh_3)) -536)) else True)),93,8,8631.41,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((if (((\fresh_59:Boolean -> (if (! True) then (\fresh_58:String -> False) else (\fresh_58:String -> fresh_59))) (if False then False else False)) "UyflFSqnAGYPuGZCAzlgECcChnUiLKzWFkYuMRkeoVFrBIWhJhZUagLSZIvDXhDiRGmrxzMxowIGVIPLybxXoAXlWCfQkkglouuPuGFmDrBXARGmLNByXy") then (if True then ((\fresh_61:Object -> (\fresh_54:Top -> 1)) -837) else (\fresh_54:Top -> 1)) else (if False then (if (! False) then (if False then (\fresh_54:Top -> 1) else (\fresh_54:Top -> 1)) else (\fresh_54:Top -> 1)) else (if False then (\fresh_54:Top -> (if (if False then False else False) then 1 else 1)) else (\fresh_54:Top -> 1)))) (if False then -682.9119196754714 else (((\fresh_56:Boolean -> (\fresh_55:Object -> >Int)) True) 187))),63,8,6019.424,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((if False then ((\fresh_79:Boolean -> (\fresh_78:Double -> 1)) (if (if False then True else ((\fresh_80:Integer -> False) -187)) then ((\fresh_81:Integer -> True) (if True then 53 else 513)) else False)) else (\fresh_78:Double -> ((\fresh_104:Boolean -> 1) True))) 10.350910572361071),29,8,3458.31,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(((if (if False then (if (! True) then False else (! False)) else (if (if False then (if True then False else True) else False) then False else (! True))) then (if False then (\fresh_115:Integer -> (\fresh_114:Boolean -> fresh_115)) else (\fresh_115:Integer -> (\fresh_114:Boolean -> 1))) else (\fresh_115:Integer -> (\fresh_114:Boolean -> ((\fresh_193:String -> 1) "DnauRKXViQyKzATNqZlzYYCvfsMeIPkBlefYqTAcdgiqjUKZCSsNRAeBMZcXSlHUNvMsqcHWovgMorKcHLJiHADsSV")))) ((\fresh_116:Double -> -276) (if True then (if True then 170.2093656563959 else 134.31795938397073) else 751.2900381436709))) True),50,8,5017.365,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,(if (((if (if (if True then True else True) then True else False) then (\fresh_195:Integer -> !) else (\fresh_195:Integer -> !)) ((\fresh_196:Integer -> (if False then fresh_196 else -482)) (if True then 114 else (if True then 1158 else 124)))) True) then ((if ((\fresh_204:Integer -> False) (if (if False then False else False) then 149 else 288)) then (if (if ((\fresh_217:Integer -> False) -134) then True else True) then (\fresh_203:Boolean -> (if (if True then True else False) then 1 else 1)) else (\fresh_203:Boolean -> 1)) else (if False then (\fresh_203:Boolean -> ((*Int 473) 112)) else (\fresh_203:Boolean -> 1))) False) else 1),71,8,6737.895,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,((\fresh_247:String -> ((if ((if (if False then False else True) then ! else !) True) then (if False then (\fresh_248:Boolean -> 1) else (if False then (\fresh_248:Boolean -> 1) else (\fresh_248:Boolean -> 1))) else (\fresh_248:Boolean -> 1)) True)) "zlnSLVJALIbAONiskIZuuujvJNOCSVCDjWZcsSShPPFXkxQNNankNSfiuSXMNggCScNHaCbwRvmeRjGABJajlifzxCHuLDLyoUULQYFzfEKndJunWPWQi"),27,8,3289.114,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
{ x:Integer where ((&& ((>[??] x) 0)) ((<[??] x) 10)) },Smaller than 10 Natural,1,1,1,2083.0,1
